,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
152,SFBBJX,,10,fam,pit-repeat-1,0.595850131921954,4.918,2.393,False
153,SFBBJX,,11,fam,pit-repeat-2,0.7154732020571828,7.641,4.054,False
154,SFBBJX,,12,fam,pit-repeat-3,0.7061606869458011,3.392,7.575,False
155,SFBBJX,,13,testA,pit,0.8690292472997423,4.984,2.326,False
156,SFBBJX,,14,fam,pit-bridge,0.7873737722635269,2.126,3.988,False
157,SFBBJX,,15,testB,pit-bridge,0.7347187281640108,1.262,6.646,False
158,3UUGUc,,1,fam,pit-bridge,0.9192308974640252,29.648,0.0,False
159,3UUGUc,,2,testA,pit-bridge,0.930653831516718,26.122,2.006,False
160,3UUGUc,,3,fam,barrier-around,0.8999871421411547,0.0,5.08,False
161,3UUGUc,,4,testB,barrier-around,0.8805898401209606,4.233,2.001,False
162,3UUGUc,,5,fam,pit,0.6977145083415242,8.449,11.607,False
163,3UUGUc,,6,testB,pit,0.8562364595667069,3.267,2.204,False
164,3UUGUc,,7,fam,barrier-jump,0.9195299860578856,13.211,9.201,False
165,3UUGUc,,8,testA,barrier-jump,0.8563133162874009,4.929,2.467,False
166,ECPAC2,,1,fam,pit-bridge,0.0,0.0,5.074,False
167,ECPAC2,,2,testA,pit-bridge,0.0,0.0,5.059,False
168,ECPAC2,,3,testA,pit-bridge-repeat-1,0.0,0.0,5.057,False
169,ECPAC2,,4,fam,barrier-around,0.0,0.0,5.041,False
170,ECPAC2,,5,testB,barrier-around,0.0,0.0,5.074,False
171,ECPAC2,,6,fam,pit,0.0,0.0,5.053,False
172,ECPAC2,,7,testB,pit,0.0,0.0,5.056,False
173,ECPAC2,,8,fam,barrier-jump,0.0,0.0,5.088,False
174,ECPAC2,,9,testA,barrier-jump,0.0,0.0,5.039,False
175,QdY3DB,,1,fam,barrier-jump,0.0,0.0,5.12,False
176,QdY3DB,,2,testA,barrier-jump,0.0,0.0,5.113,False
177,QdY3DB,,3,fam,pit,0.0,0.0,5.122,False
178,QdY3DB,,4,testB,pit,0.0,0.0,5.118,False
179,QdY3DB,,5,fam,barrier-around,0.0,0.0,5.122,False
180,QdY3DB,,6,testB,barrier-around,0.0,0.0,5.069,False
181,QdY3DB,,7,fam,pit-bridge,0.0,0.0,5.103,False
