,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
210,J4F5A2,,3.0,fam,barrier-jump,0.8123119482918392,2.096,1.406,1.469,False
211,J4F5A2,,4.0,fam,barrier-jump-repeat-1,0.9077304243512264,41.439,3.216,0.336,False
212,J4F5A2,,5.0,fam,barrier-jump,0.8838062799429591,23.872,5.024,4.0,True
213,J4F5A2,,6.0,fam,barrier-jump,0.8679109318657322,11.021,8.286,4.016,True
214,J4F5A2,,7.0,fam,barrier-jump,0.7751884128663923,23.057,13.353,4.016,True
215,J4F5A2,,8.0,fam,barrier-jump,0.8639730619354833,35.576,8.192,0.302,False
216,J4F5A2,,9.0,fam,barrier-jump,0.8638332463563464,38.506,5.423,1.941,False
217,J4F5A2,,10.0,fam,barrier-jump,0.8346138566481967,3.636,6.118,4.02,True
218,J4F5A2,,11.0,testA,barrier-jump,0.9493387821815946,13.167,5.835,4.013,True
219,J4F5A2,,12.0,testB,barrier-jump,0.708582509071269,2.961,7.584,4.002,True
220,J4F5A2,,13.0,testB,barrier-jump,0.6849214878736758,1.658,23.276,4.011,True
221,J4F5A2,,14.0,testA,barrier-jump,0.7417679712800922,5.194,16.333,1.534,True
222,BJFJAM,,1.0,fam,pit,0.8834900228834864,13.639,22.414,1.925,False
223,BJFJAM,,2.0,fam,pit,0.908008460739002,7.162,9.536,3.044,True
224,BJFJAM,,3.0,fam,pit,0.89253456815661,27.019,9.325,2.077,True
225,BJFJAM,,4.0,fam,pit,0.8675891501423575,17.942,7.063,3.954,True
226,BJFJAM,,5.0,fam,pit,0.8660815777540868,9.799,5.386,1.793,True
227,BJFJAM,,6.0,fam,pit,0.88105521270207,5.233,3.102,3.263,True
228,BJFJAM,,7.0,fam,pit,0.8408684102302426,6.742,1.82,1.816,True
229,BJFJAM,,8.0,testB,pit,0.8689478387660031,12.37,8.542,3.322,True
230,BJFJAM,,9.0,testA,pit,0.8089889905282429,2.35,3.982,2.85,True
231,3GSKJ5,,1.0,fam,pit,0.8903545456966138,42.765,2.048,2.111,False
232,3GSKJ5,,2.0,fam,pit,0.903743008983896,36.063,6.878,3.36,True
233,3GSKJ5,,3.0,fam,pit,0.875940654768008,17.662,5.742,3.326,True
234,3GSKJ5,,4.0,fam,pit,0.8924580521406011,15.582,5.424,4.015,True
235,3GSKJ5,,5.0,fam,pit,0.9006655278536597,15.549,5.088,4.032,True
236,3GSKJ5,,6.0,fam,pit,0.9020662634980444,6.606,3.282,3.554,True
237,3GSKJ5,,7.0,fam,pit,0.8890585262434824,11.038,7.119,3.088,True
238,3GSKJ5,,8.0,testB,pit,0.8060143603299691,7.917,6.239,2.368,True
239,3GSKJ5,,9.0,testA,pit,0.7687676536793612,2.946,8.88,3.023,True
240,3GSKJ5,,10.0,testA,pit,0.8830749005713361,6.175,3.47,3.519,True
241,3GSKJ5,,11.0,testB,pit,0.9065787774901236,5.168,3.76,3.823,True
242,BEV5ZY,,1.0,fam,barrier-jump,0.9199041647438118,45.04,0.0,0.0,False
243,BEV5ZY,,2.0,fam,barrier-jump,0.902117762371942,44.867,0.0,0.0,False
244,BEV5ZY,,3.0,fam,barrier-jump,0.9216061365782824,35.384,9.038,1.895,False
245,BEV5ZY,,4.0,fam,barrier-jump,0.8996748434478501,33.402,10.557,0.0,False
246,BEV5ZY,,5.0,fam,barrier-jump,0.8646901703155191,30.979,9.72,4.03,True
247,BEV5ZY,,6.0,fam,barrier-jump,0.9545534737290644,20.929,15.81,4.031,True
248,BEV5ZY,,7.0,fam,barrier-jump,0.7751489304062119,4.273,3.406,3.534,True
249,BEV5ZY,,8.0,fam,barrier-jump,0.7619157691902303,6.207,3.903,3.975,True
250,BEV5ZY,,9.0,testA,barrier-jump,0.992230321963628,1.966,4.704,4.001,True
251,BEV5ZY,,10.0,testB,barrier-jump,0.9321228864774184,13.078,6.696,4.004,True
252,BEV5ZY,,11.0,testB,barrier-jump,0.8534978100683837,7.515,4.376,4.011,True
253,BEV5ZY,,12.0,testA,barrier-jump,0.8781007596703826,7.879,6.112,3.337,True
254,HZ53AC,,1.0,fam,barrier-around,0.8060773642797434,30.877,5.832,0.949,False
255,HZ53AC,,2.0,fam,barrier-around,0.7851625505642326,43.457,0.815,0.0,False
256,HZ53AC,,3.0,fam,barrier-around,0.8520337126199031,38.127,3.786,0.189,False
257,HZ53AC,,4.0,fam,barrier-around,0.8665517733757755,16.755,17.533,2.205,False
258,HZ53AC,,5.0,fam,barrier-around,0.8982359114147368,17.214,20.275,3.4,False
259,HZ53AC,,6.0,fam,barrier-around,0.8742421117339114,13.237,23.436,4.068,True
260,HZ53AC,,7.0,fam,barrier-around,0.955447554588318,2.36,7.929,3.928,True
261,HZ53AC,,8.0,fam,barrier-around,0.8984172691901525,7.786,4.149,1.242,True
262,HZ53AC,,9.0,testA,barrier-around,0.8407850405352015,16.847,20.802,1.257,False
263,HZ53AC,,10.0,testB,barrier-around,0.8396816303332647,4.175,15.79,3.812,True
264,BHZZPE,,1.0,fam,pit,0.9648770650651822,45.756,0.0,0.033,False
265,BHZZPE,,2.0,fam,pit,0.96499298589871,40.268,4.447,0.72,False
266,BHZZPE,,3.0,fam,pit,0.949646915651777,40.088,3.617,0.05,False
267,BHZZPE,,4.0,fam,pit,0.9196732655280184,38.286,5.435,0.0,False
268,BHZZPE,,5.0,fam,pit,0.91878691703702,33.397,10.001,1.138,False
269,BHZZPE,,6.0,fam,pit,0.9163499435061188,30.668,5.152,2.245,True
270,BHZZPE,,7.0,fam,pit,0.8708643486408086,35.07,7.635,0.593,False
271,BHZZPE,,8.0,fam,pit,0.9377996944408324,44.876,0.178,0.0,False
272,BHZZPE,,9.0,testA,pit,0.7842366304681745,15.373,2.205,0.864,True
273,BHZZPE,,10.0,testB,pit,0.8055651876433142,9.598,5.823,2.848,True
274,BHZZPE,,11.0,testB,pit,0.7524250043564088,25.647,5.903,2.639,True
275,BHZZPE,,12.0,testA,pit,0.7706230934144873,12.35,10.996,2.707,True
276,d5C2YU,,1.0,fam,pit,0.9295971943241246,34.479,8.708,1.348,False
277,d5C2YU,,2.0,fam,pit,0.8931035541675307,27.539,13.575,0.664,False
278,d5C2YU,,3.0,fam,pit,0.9166195073906256,19.794,9.69,2.749,True
279,d5C2YU,,4.0,fam,pit,0.9026153033429926,6.615,11.168,3.635,True
280,d5C2YU,,5.0,fam,pit,0.9165839168221452,6.63,8.618,3.305,True
281,d5C2YU,,6.0,fam,pit,0.8889046911229479,17.576,15.682,3.587,True
282,d5C2YU,,7.0,fam,pit,0.9050360013072084,5.96,2.506,0.753,True
283,d5C2YU,,8.0,fam,pit,0.835641512211333,3.781,1.772,1.992,True
284,d5C2YU,,9.0,testB,pit,0.8812892181031844,6.263,3.966,2.042,True
285,d5C2YU,,10.0,testA,pit,0.9067003628611564,23.703,7.163,1.496,True
286,cZM66C,,1.0,fam,barrier-around,0.917417944208976,39.987,2.363,0.0,False
287,cZM66C,,2.0,fam,barrier-around,0.9637008022193482,44.254,0.368,0.0,False
288,cZM66C,,3.0,fam,barrier-around,0.9625874134974602,35.73,1.007,1.259,True
289,cZM66C,,4.0,fam,barrier-around,0.9287456181403752,35.979,0.257,0.509,True
290,cZM66C,,5.0,fam,barrier-around,0.8945210588065696,33.611,1.129,0.754,True
291,cZM66C,,6.0,fam,barrier-around,0.9176848744168694,9.745,1.375,1.631,True
292,cZM66C,,7.0,fam,barrier-around,0.9159540439596272,11.991,0.88,1.377,True
293,cZM66C,,8.0,testA,barrier-around,0.7796852687994639,9.503,1.885,2.127,True
294,cZM66C,,9.0,testB,barrier-around,0.8758979068791612,21.777,3.761,2.752,True
295,cZM66C,,10.0,testB,barrier-around,0.9089136643069132,8.12,1.875,2.132,True
296,cZM66C,,11.0,testA,barrier-around,0.8084092764627366,6.701,1.906,2.206,True
297,H4AYHY,,1.0,fam,barrier-jump,0.6291638609741916,27.209,12.61,1.404,False
298,H4AYHY,,2.0,fam,barrier-jump,0.6803939740321928,42.436,0.659,0.0,False
299,H4AYHY,,3.0,fam,barrier-jump,0.7517308259943881,41.306,3.103,1.553,False
300,H4AYHY,,4.0,fam,barrier-jump,0.7767101841936543,12.652,3.967,0.606,True
301,H4AYHY,,5.0,fam,barrier-jump,0.8085723058594501,26.101,1.138,0.455,True
302,H4AYHY,,6.0,fam,barrier-jump,0.8167371782923626,23.758,3.824,0.0,True
303,H4AYHY,,7.0,fam,barrier-jump,0.8077866103273729,18.312,7.765,0.817,True
304,H4AYHY,,8.0,fam,barrier-jump,0.8513940949650372,3.517,1.617,1.752,True
305,H4AYHY,,9.0,testA,barrier-jump,0.8462960070710841,13.516,2.618,1.288,True
306,H4AYHY,,10.0,testB,barrier-jump,0.8398201649839228,5.866,3.066,3.243,True
